mep_id,date,occupation,activity,first_name,last_name,country,eugroup
188945,occupation,Gewerkschaftssekretär IG BCE,4,Dennis,RADTKE,Germany,PPE
188945,activity,Gewerkschaftssekretär IG BCE (anteilig  bis 5. August 2017 - Arbeitsverhältnis ruh seitdem),3,Dennis,RADTKE,Germany,PPE
188945,membership,Mitgliedschaft     Regionalverband  Ruhrgebiet (RVR),1,Dennis,RADTKE,Germany,PPE
21918,occupation,OCC - Ordem dos Contabilistas  Certificados (PMA Geral),3,Manuel dos,SANTOS,Portugal,S&D
21918,occupation,Sport TV 4,1,Manuel dos,SANTOS,Portugal,S&D
21918,activity,OCC - Ordem                dos    Contabilistas  Certificados (PMAG),3,Manuel dos,SANTOS,Portugal,S&D
188636,occupation,DIRECTOR PUBLIC IMPACT  LTD,2,John,HOWARTH,United Kingdom,S&D
188636,occupation,DIRECTOR PUBLIC IMPACT  COM LTD,2,John,HOWARTH,United Kingdom,S&D
188636,occupation,CONSULTANT INSTINCTIF  PARTNERS,3,John,HOWARTH,United Kingdom,S&D
188636,membership,DIRECTOR PUBLIC IMPACT  LIMITED,0,John,HOWARTH,United Kingdom,S&D
188636,membership,DIRECTOR PUBLIC IMPACT  COMMUNICATIONS LTD,0,John,HOWARTH,United Kingdom,S&D
188622,occupation,HISTORIAN,3,Rupert,MATTHEWS,United Kingdom,ECR
188622,occupation,COMPANY DIRECTOR,1,Rupert,MATTHEWS,United Kingdom,ECR
188622,activity,HISTORIAN,2,Rupert,MATTHEWS,United Kingdom,ECR
188622,activity,COMPANY DIRECTOR,1,Rupert,MATTHEWS,United Kingdom,ECR
188622,membership,COMPANY DIRECTOR,0,Rupert,MATTHEWS,United Kingdom,ECR
4338,occupation,HELIOS AVOCATS,3,Thierry,CORNILLET,France,ALDE
4338,occupation,Association Internationale des  Régions Francophones,0,Thierry,CORNILLET,France,ALDE
4338,activity,HELIOS AVOCATS (jusqu'au 1er juillet  2017),3,Thierry,CORNILLET,France,ALDE
4338,membership,Association Internationale         des  Régions Francophones,0,Thierry,CORNILLET,France,ALDE
188445,occupation,Nationale Politie (Regeling),3,André,ELISSEN,Netherlands,ENF
188445,occupation,Examinator Politieacademie,1,André,ELISSEN,Netherlands,ENF
188445,occupation,Raadslid Gemeenteraad Den  Haag,3,André,ELISSEN,Netherlands,ENF
188445,occupation,Ere-Voorzitter    Nationale  Netwerk Drugsexpertise (NND),0,André,ELISSEN,Netherlands,ENF
188445,activity,Elissen Consultancy,2,André,ELISSEN,Netherlands,ENF
188445,membership,Bestuurdlid PVV Den Haag,0,André,ELISSEN,Netherlands,ENF
188445,membership,Lid VCTE,0,André,ELISSEN,Netherlands,ENF
39713,occupation,Membru Parlamentul European 2009-2014,3,Renate,WEBER,Romania,ALDE
39713,activity,Membră Baroul de Avocați București - Cabinet Individual de avocatură| fără activitate,-1,Renate,WEBER,Romania,ALDE
39713,membership,Fundația Pentru o Societate deschisa România - Consiliul Fundației| activitate neremunerată,-1,Renate,WEBER,Romania,ALDE
124822,occupation,Professor für Soziologie an der  Fachhochschule Dortmund,3,Dietmar,KÖSTER,Germany,S&D
96764,occupation,EP,4,Hermann,WINKLER,Germany,PPE
96764,membership,DFB,0,Hermann,WINKLER,Germany,PPE
96764,membership,NOFV,0,Hermann,WINKLER,Germany,PPE
96764,membership,Sächsischer FV,0,Hermann,WINKLER,Germany,PPE
124995,occupation,Vårdbiträde,3,Kristina,WINBERG,Sweden,EFDD
124995,occupation,Resebyrå,3,Kristina,WINBERG,Sweden,EFDD
188254,occupation,Sec. Générale MEWA (Inactif  depuis 2014),0,Patricia,LALONDE,France,ALDE
188254,occasional,Expertise EFD - European Foundation for  Democracy,1,Patricia,LALONDE,France,ALDE
188254,occasional,Expertise pour LDIF (Ligue Intern. Droit  des Femmes),1,Patricia,LALONDE,France,ALDE
124940,occupation,Director of Communications for UKIP  (01/02/2014 - to present),3,Patrick,O'FLYNN,United Kingdom,EFDD
124940,occupation,Chief Political Commentator Daily Express  (12/2005-31/01/2014),3,Patrick,O'FLYNN,United Kingdom,EFDD
1849,occupation,Mitglied des Präsidiums der  Europa-Union Deutschland,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,occupation,Landesvorsitzende         Europa-  Union Berlin e.V.,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,occupation,Mitglied bei ver.di,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,occupation,Mitglied     der    Deutsche  Gesellschaft für Auswärtige Politi,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,occupation,Mitglied des Vereins für  Europäisches Verfassungsrech,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,occupation,Mitglied des Vereins der Freunde  und Förderer von Theresienstadt/ Terezin e.V.,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,membership,Geschäftsführender Landesvorstand  SPD Berlin,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,membership,VER.DI,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,membership,Arbeiterwohlfahrt,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,membership,Deutsche Gesellschaft für Auswärtige  Politik,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,membership,Verein    für      Europäisches  Verfassungsrecht,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,membership,Europa-Union Deutschland / Europa-  Union Berlin e.V.,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,membership,Mitglied im Vorstand der Union  Europäischer Föderalisten,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
1849,membership,Verein für Freunde und Förderer von  Theresienstadt/Terezin e.V.,0,Sylvia-Yvonne,KAUFMANN,Germany,S&D
124839,occupation,Referent des Oberbürgermeisters der  Lutherstadt Wittenberg,2,Arne,LIETZ,Germany,S&D
124839,membership,Mitglied im Tönissteiner Kreis,-1,Arne,LIETZ,Germany,S&D
124839,membership,Mitglied im Verein Campus Wittenberg,-1,Arne,LIETZ,Germany,S&D
124839,membership,Mitglied im Verein der Barlachfreunde,-1,Arne,LIETZ,Germany,S&D
124839,membership,Mitglied im Verein des Wittenberg Zentrums für Globale Ethik,-1,Arne,LIETZ,Germany,S&D
124839,membership,Mitglied im Verein Insula Rugia,-1,Arne,LIETZ,Germany,S&D
124839,membership,Mitglied im Kanu Verein der Lutherstad Wittenberg,-1,Arne,LIETZ,Germany,S&D
28228,occupation,Mitglied     des    Europäischen  Parlaments,4,Albert,DESS,Germany,PPE
28228,membership,VORSTAND DER BÄUERLICHEN  GENOSSENSCHAFT BAYERNLAND E.G.,3,Albert,DESS,Germany,PPE
28228,membership,MITGLIED                   IM  GENOSSENSCHAFTLICHEN BEIRAT  DER   BAYWA                AG MÜNCHEN,1,Albert,DESS,Germany,PPE
28228,membership,PRÄSIDENT DES VERBANDS  BAYERISCHER BERUFSFISCHER (VBB),1,Albert,DESS,Germany,PPE
28228,membership,VEREIN NACHWACHSENDE  ROHSTOFFE (VNR),0,Albert,DESS,Germany,PPE
28228,membership,MITGLIED   IM   BEIRAT  FÜR   SPARKASSENPOLITISCHE GRUNDSATZFRAGEN        DES SPARKASSENVERBANDS BAYERN,1,Albert,DESS,Germany,PPE
99650,occupation,Assistant to MEP,2,Tim,AKER,United Kingdom,EFDD
99650,occupation,Campaign Director,2,Tim,AKER,United Kingdom,EFDD
99650,occupation,Head of Policy,2,Tim,AKER,United Kingdom,EFDD
136236,occupation,MEMBRO STAFF POLITICO  GUE/NGL NO PE,4,João,PIMENTA LOPES,Portugal,GUE/NGL
136236,occupation,BIÓLOGO - TÉCNICO  SUPERIOR        CÁMAR MUNICIPAL DE MORA,3,João,PIMENTA LOPES,Portugal,GUE/NGL
124857,occupation,1.Народен представител 42-то  Народно събрание на Република България,2,Peter,KOUROUMBASHEV,Bulgaria,S&D
124857,occupation,2. КИД 2226 ЕООД,-1,Peter,KOUROUMBASHEV,Bulgaria,S&D
124857,occupation,3.Арексим Инжинеринг ЕАД,2,Peter,KOUROUMBASHEV,Bulgaria,S&D
124857,occupation,4. Грийн Форест Проджект АД,3,Peter,KOUROUMBASHEV,Bulgaria,S&D
124857,occupation,5. КИД 2228 ЕООД,3,Peter,KOUROUMBASHEV,Bulgaria,S&D
124857,occupation,6. КОГЕН ЗАГОРЕ ООД,2,Peter,KOUROUMBASHEV,Bulgaria,S&D
124857,occupation,7. ЗАВОДСКИ СТРОЕЖИ  КОЗЛОДУЙ АД,2,Peter,KOUROUMBASHEV,Bulgaria,S&D
124857,occupation,8. СЪНРЕЙ ЕНЕРДЖИ ООД,-1,Peter,KOUROUMBASHEV,Bulgaria,S&D
124857,occupation,9. КИД 2227,0,Peter,KOUROUMBASHEV,Bulgaria,S&D
124857,holding,1.КИД 2225,-1,Peter,KOUROUMBASHEV,Bulgaria,S&D
124857,holding,2.ДУЛО ПРОПЪРТИС ЛТД,-1,Peter,KOUROUMBASHEV,Bulgaria,S&D
125030,occupation,Boerin,3,Annie,SCHREIJER-PIERIK,Netherlands,PPE
125030,occupation,Adviseur,3,Annie,SCHREIJER-PIERIK,Netherlands,PPE
125030,occupation,Lid Parlement Nederland,3,Annie,SCHREIJER-PIERIK,Netherlands,PPE
96839,occupation,Mitglied     des    Europäischen  Parlaments,4,Kerstin,WESTPHAL,Germany,S&D
96839,membership,SPARKASSENVERBAND  BAYERN      (BEIRAT   FÜR SPARKASSENPOLITISCHE GRUNDSATZFRAGEN),1,Kerstin,WESTPHAL,Germany,S&D
96839,membership,MITGLIED IM VORSTAND  DER EUROPÄISCHEN AKADEMI BAYERN,0,Kerstin,WESTPHAL,Germany,S&D
4267,occupation,Europaabgeordneter,4,Udo,BULLMANN,Germany,S&D
4267,membership,Freunde und Förderer der Akademie  der Arbeit e.V.,0,Udo,BULLMANN,Germany,S&D
4267,membership,Gewerkschaft Verdi,0,Udo,BULLMANN,Germany,S&D
4267,membership,Arbeiterwohlfahrt,0,Udo,BULLMANN,Germany,S&D
4267,membership,In - und ausländische Berufsverbände  der Politikwissenschaft,0,Udo,BULLMANN,Germany,S&D
4267,membership,Europäische Akademie Hessen e.V.,0,Udo,BULLMANN,Germany,S&D
124874,occupation,Sejm Rzeczyposp. Polskiej| MP,3,Bolesław,G. PIECHA,Poland,ECR
96805,occupation,MEP,3,Paul,NUTTALL,United Kingdom,EFDD
28341,occupation,Poseł    do          Parlamentu  Europejskiego,4,Mirosław,PIOTROWSKI,Poland,ECR
28341,occupation,Katolicki Uniwersytet Lubelski  im. Jana Pawła II - Kierownik Katedry Historii Najnowszej (urlop bezpłatny),0,Mirosław,PIOTROWSKI,Poland,ECR
28341,occupation,Wyższa Szkoła Kultury  Społecznej i Medialnej w  Wykładowca,1,Mirosław,PIOTROWSKI,Poland,ECR
28341,activity,Wyższa Szkoła Kultury Społecznej i  Medialnej w Toruniu - Wykładowca,1,Mirosław,PIOTROWSKI,Poland,ECR
28341,membership,ALEC - American Legislative  Exchange Council - Internationa Delegates      (CZŁONEK|     be wynagrodzenia),0,Mirosław,PIOTROWSKI,Poland,ECR
28341,membership,Stowarzyszenie    Razem          dla  Lubelszczyzny - prezes,0,Mirosław,PIOTROWSKI,Poland,ECR
28341,membership,Klub Inteligencji Katolickiej im. prof.  Czesława Strzeszewskiego w Lublinie - WICEPREZES| bez wynagrodzenia,0,Mirosław,PIOTROWSKI,Poland,ECR
28341,membership,AECR -          CZŁONEK        -   bez  wynagrodzenia,0,Mirosław,PIOTROWSKI,Poland,ECR
28341,membership,Europejski Instytut Studiów i Analiz  - PREZES| bez wynagrodzenia,0,Mirosław,PIOTROWSKI,Poland,ECR
28341,membership,Towarzystwo Naukowe Katolickiego  Uniwersytetu Lubelskiego Jana Pawła  - CZŁONEK - bez wynagrodzenia,0,Mirosław,PIOTROWSKI,Poland,ECR
28341,membership,Katolicki Uniwersytet Lubelski im.  Jana Pawła II - Kierownik Katedry Historii Najnowszej (urlop bezpłatny),0,Mirosław,PIOTROWSKI,Poland,ECR
4289,occupation,Mitglied     des    Europäischen  Parlaments,4,Angelika,NIEBLER,Germany,PPE
